,file,artist,title,lyrics
10,TRALSKT128F93549F9.h5,Tracy Byrd,Take Me Fishin',
11,TRAJSFB128F4270AED.h5,Jerry Lewis,It All Depends On You,
12,TRAZYET12903CEC75F.h5,Flexy,Toca Me (Album Version),
13,TRADUXF128F1498A0A.h5,Phil Spector,Spanish Harlem,
14,TRACKKI128F930CA83.h5,Maurane / Lara Fabian,Mais La Vie,
15,TRALCNL128F92CF5B9.h5,Luiz Bonfa,Santeleco,
16,TRANYLR128F4271924.h5,Twila Paris,How Beautiful (Cry For The Desert Album Version),"How Beautiful the hands that served
The Wine and the Bread and the sons of the earth
How beautiful the feet that walked
The long dusty roads and the hill to the cross
How Beautiful, how beautiful, how beautiful is the body of Christ

How Beautiful the heart that bled
That took all my sin and bore it instead
How beautiful the tender eyes
That choose to forgive and never despise
How beautiful, how beautiful, how beautiful is the body of Christ

And as He lay down His life
We offer this sacrifice
That we will live just as He died
Willing to pay the price
Willing to pay the price

How Beautiful the radiant bride
Who waits for her Groom with His light in her eyes
How Beautiful when humble hearts give
The fruit of pure lives so that others may live
How beautiful, how beautiful, how beautiful is the body of Christ

How beautiful the feet that bring
The sound of good news and the love of the King
How Beautiful the hands that serve
The wine and the bread and the sons of the Earth
How Beautiful, how beautiful, how beautiful is the body of Christ"
17,TRAQUWF128E07924E4.h5,Drag-On / DMX,Niggas Die 4 Me,
18,TRAHZNL128F9312B48.h5,Lou Reid & Carolina,It's So Hard To Stumble (When You're Down On Your Knees),
19,TRAUTCA128F429B624.h5,Rickie Lee Jones,Danny's All-Star Joint (LP Version),"Downstairs at danny's all-star joint
They got a juke box that goes doyt-doyt
The vice is nice, they stay in the back all day
But when the nighttime comes, hey-hey
There's this cat down there that makes a bad kinda soup
I come around struttin' my luck in my shoop coupe
Cecil gives me coffee
And he won't never take my coin
I say, "" I got thirty dollars in my pocket!
Whatchoo doin' ? ""

I holler, "" Come on, Cecil, take a dollar!
Come on, Cecil, take a ten!
I've finally geared up into a whole buncha big ones
And you're actin' like I'm down-shiftin' ""

He knows all the under-riders on the boulevard
They got to barefoot cruise when it's forty-weight hard
They look particularly dead-beat
Permanently pale
Cecil picks up his butcher knife
Waves it at the jail
The kid say, "" I ain't got no dough, Joe, I just want some o.j""
I said, "" Don't look at me "" ('Cause he was lookin' my way)
Cecil wink upon him some juice and some green
And the kid walks over and puts the quarter in the pinball machine
And he says, "" Come on, Cec, gimme a dollar
Come on Cecil gimme five
I'm in a half-way house on a one-way street
And I'm a quarter past left alive""
He can talk about your people in a wonderful way
He can talk about your people till your hair turns grey
Your sisters into mustard, she loves to walk the pup
She like pickles and a relish, she never gets enough
Hershey milkshake steamin on a stick, Get a Carter Blanche Sandwich
Oh lettuce get it thick... It not because I'm dirty, not because I'm clean
Not because I kissed a boy behind a magazine...
Hey Boys, how 'bout a fight... Here comes Ricky with her girdle on tight...
She don't know your name, But she knows what you got, fromn your
Mazzo balls to the chicken in the pot... chicken in the pot...
Chicken in the... DOOOWWWWOWOWN stairs at Danny's all star joint
They got a jukebox that goes Doyte doyte... finger snappin delux make ya bee bop
Bap... You're a Ivy League... You're a Hep Scat...
You can't break the rules until ya know how to play the game
If ya wanna have a little fun you can mention my name...
But keep your feet in the street... Your toes in the lawn...
But keep your business in your pocket Baby, that's where it belongss...
OW come on Cecil take a dollar... Come on Cecil take a tip...
Do your self a favor if she offers it take it...
But honey don't give it away if she don't appriciate it... Dooown bownt bownt
Bownt"
20,TRATSSL128F92F67BD.h5,Gregory Isaacs,Down the Line,
21,TRAIVNL128F422CFE2.h5,Buzzcocks,Get On Our Own,"Honey, I saw you yesterday
On my way home
Baby, I craved for you today
So I decided to phone

So why don't we get it together soon
And get on our own
Just think of what me and you could do
If we get on our own

If we could get on our own
If we could get on our own

Honey, I saw you again today
And I liked what I saw
So why we don't meet tonight
Then I could see a bit more

So how's about we get together soon
Well why be alone
Just think of what me and you could do
If we get on our own

If we could get on our own
If we could get on our own

Just think of it, me and you
Us together, yes just we two
Think of all the things that me and you could do
If we get on our own

If we could get on our own
If we could get on our own
Just me and you, ah"
22,TRARPKK12903CD6066.h5,This Moment In Black History,Blackwords Masking,
23,TRAQTEH128F427DD91.h5,New Roanoke Jug Band,I've Been Cryin' Since You've Been Gone,
24,TRAXDDY12903C93E27.h5,Wendo Kolosoy,Soki Olingi Ngai,
25,TRAEWQP128F9330AF7.h5,PMD,The Awakening (Clean),
26,TRATZNW128F427101D.h5,Greater Vision,Carol Of The Bells (Instramental Featuring The Budapest Pops Orchestra),
27,TRAGGHA128F4262D55.h5,Eddy Raven,I WANNA HEAR IT FROM YOU,
28,TRARVMO128F427DF04.h5,Lonnie Johnson,She's My Mary,
29,TRADNRG128F426F18C.h5,Charlie Rich,Nice 'N' Easy,
30,TRAJOPD128F92FC400.h5,Malkit Singh,Nach Ke VEkha Bhabhiyie,
31,TRABNEX128F92C9DEA.h5,Kings Of Leon,Knocked Up,"I don't care what nobody says, we're gonna have a baby
Taking off in a Coupe de Ville, she's buckled up on navy
She don't care what her momma says, no, she's gonna have my baby
I'm taking all I have to take 'cause taking's gonna shape me

People call us renegades 'cause we like living crazy
We like taking on the town because people's getting lazy
I don't care what nobody says, no, I'm gonna be her lover
Always mad and usually drunk, but I love her like no other

And the doctor seems to say he don't know
Where we're gonna go
I'm a ghost and I don't think I quite know
Where we're gonna go
Where we're gonna go

People call us renegades 'cause we like living crazy
We like taking on this town 'cause people's getting lazy
I don't care what nobody says, no, I'm going to be her lover
Always mad and usually drunk, but I love her like no other

And her daddy seems to say he don't know
Where we're gonna go
I'm a ghost and I don't think I quite know
Where we're gonna go
Where we're gonna go
Where we're gonna go
Where we're gonna go
Where we're gonna

People call us renegades
We like taking on this town

I don't care what nobody says, we're gonna have a baby
Taking off in a Coupe de Ville, she's buckled up on navy
She don't care what her momma says, no, she's gonna have my baby
I'm taking all I have to take 'cause taking's gonna shape me"
32,TRAGCUZ128F92E6E26.h5,David Evans,Prison Bound Blues,
33,TRAIHXV128F14A5216.h5,King Curtis with Jack Dupree,Everything's Gonna Be Alright (Live Version),
34,TRAVLLM128F933067B.h5,Henri Pousseur,Racine dix-neuvième de huit-quarts,
35,TRALNPA128F423CD2D.h5,Marc Shaiman,We're New Yorkers Now!,
36,TRAJMQE128F9322DDD.h5,2 Minutos,Vos No Confiaste,"Vos no confiaste
y te fuiste del pais
a buscar un futuro
inmediato y mucho mejor. 
Hace un año y medio ya
que estas viviendo en Madrid
lavando copas en un bar
tratando de sobrevivir. 
En el cuartito del hotel
cuelgan de la pared
tu diploma de arquitecto
y el banderin de River Plate. 
Vos no te diste cuenta
que sos sapo de otro pozo
otro roñzo sudaca
en la vieja Europa. 
Vos no confiaste
en la gente de tu pais. 
Vos no esperaste a tu pais
vos no confiaste! 
vos no esperaste!"
37,TRAGJZP128F424A16F.h5,Yank Rachell,My Mind Got Bad,"My mind got bad, I didn't know what to do
I was thinkin' about the way my baby used to do
My love is cold, my love is cold, yes, my love is cold

My woman quit me, I did not have a chance
I did not have no patch on my last pair of pants
My love is cold, my love is cold, yes, my love is cold

I will see you in the Spring, the bluebird begin to sing
When you won't have no man to sing this song
My love is cold, my love is cold, yes, my love is cold

You gon' keep on foolin' around, you gon' be six feet in the ground
Then fare you well, baby, and fare you well
Fare you well, fare you well, baby, fare you well

I'll tell you, baby, I'm gonna tell you 'fore I go
I ain't gonna never take none of your low-down doggin' no more
My love is cold, my love is cold, yes, my love is cold

Yes, my love's cold. Play it for me, boys!

My mind got bad, I didn't know what to do
I was thinkin' 'bout the way my baby used to do
My love is cold, my love is cold, yes, my love is cold

I'll see you in the Fall, baby, you won't have no man at all
Then you'll have me walkin', walkin' 'round wearin' my overalls
My love is cold, my love is cold, yes, my love is cold

Sayin' my love is cold, yes, my love is"
38,TRAQIWL12903CF2A34.h5,K-OS,The Avenue (Zack W. Remix),
39,TRAVGFT128F424278B.h5,Café Quijano,Hablando A Un Cristal,"Quiero sentirme triste para decirte palabras bellas,
quiero sentirme herido por que tu cariño me haga daño,
quiero sentir que muero, mátame que es lo que quiero,
te quiero, te quiero, te quiero y quiero ser un niño enamorado.
Sufro por la impaciencia de no saber si tu boca besa,
tiemblo cuando imagino tus manos puestas sobre mis hombros,
quiero bailar contigo, lloro porque es un sueño,
te quiero, te quiero, te quiero, te quiero y quiero seguir soñando.

Qué puede pasar, mujer, si me llegas a querer;
si me llegas a querer me vas a matar, mujer.
Qué puede pasar, mujer, si me llegas a querer;
si me llegas a querer, me vas a matar mujer.

Quiero volver a oírte hablando sola frente a un cristal,
quiero ser el cristal que te escuche hablar cada madrugada,
quiero ser un novato, alguien que nunca ha sido,
te quiero, te quiero, te quiero y quiero oídos en tu cama.
Tengo miedo por el misterio de ser sincero, no sé quién eres,
tengo miedo porque presiento que he sido poco frente a tus ojos,
dime que sí me quieres, dime sólo esa mentira,
te quiero, te quiero, te quiero, te quiero y quiero decir te quiero.

Qué puede pasar, mujer, si me llegas a querer;
si me llegas a querer, me vas a matar mujer.
Qué puede pasar, mujer, si me llegas a querer;
Si me llegas a querer me puedes matar mujer."
40,TRAAOEH128F426A82F.h5,Leland Martin,Stone Cold Fingers (Bonus Track),
41,TRACYMH12903CA01DF.h5,Kix,Cold Blood (LP Version),"Cruisin' downtown, shakin' her love
T and A talkin' to me
Felt my heart drop, wheeled a dead stop
Girl has got me on my knees

Baby baby babe, don't make me wonder
Won't you let me in
She said, ""See you later."" Shot down
I'll be back again

Good love is all you need
But you don't wanna know
Cold blood is all you bleed
When it cools off, you tease it
When it gets hot, you freeze it
Cold blood is all you bleed

Dresses so tight, moving to the beat
Set my feet on fire
Dream come true, I want to give it to you
Let the flame get higher

Baby baby, you're driving me crazy
Like a cat in a cage
You make me sh-sh-shiver, earthquake
Downtown to the blaze

Good love is all you need
But you don't wanna know
Cold blood is all you bleed
When it cools off, you tease it
When it gets hot, you freeze it
Cold blood is all you bleed

Ahh
You make me so hot
I feel my temperature rise
Don't shoot me down, no

When it cools off, you tease it
When it gets hot, you freeze it
Cold blood is all you bleed

Good love is all you need
But you don't wanna know
Cold blood is all you bleed
Cold blood is all you bleed
Cold blood is all you bleed"
42,TRAQPHP128F92F1464.h5,Mae West,Put It Off Until Tomorrow,
43,TRAPNHG128F149CB35.h5,Dexys Midnight Runners,Spiritual Passion (aka Dubious),
44,TRAJJYB12903CE5A10.h5,Anané,Plastic People (Original Mix),
45,TRAQFEZ128F92E565D.h5,Poncho Sanchez / Dianne Reeves,Morning,
46,TRADAFY12903CC7EAA.h5,Pinchers & Ganglords,Girls Girls,
47,TRAUZVU12903CC050D.h5,The Shangri-Las,Remember (Walkin' In the Sand),
48,TRAQWEF128F92D2831.h5,Claire Hamill,Icicle Rain,
49,TRANUSB128F9343695.h5,Lara Fabian,TLFM (Toutes Les Femmes En Moi),"Tout
Tout est ici-bas
Le fruit d'un ventre rond
Plein de vie qui va
Le ventre d'une femme
Que l'on aime
Que l'on hait
Que l'on sème

Mais
En silence elle déploient
Les ailes du vaisseau
Où elles couchent les rois
Où ils boivent la sève
Qui soulève
Leur plus intriguant émoi

Toutes les femmes en moi
Sont éternelles
Enfant d'une étoile
Accrochée à un ciel
Qui les malmène
Et les vénère à la fois

Foi
Qui les tue, les bat
Au nom d'un nom sacré
Que l'on prononce pas
Car notre père dommage et j'enrage
Est un humain
Qui se noie

Qui
Ne regardera pas
La fillette aux yeux vides
Que l'on mariera
Envers et contre toutes les prières
Que sa mère prononcera

Toutes les femmes en moi
Sont éternelles
Enfant d'une étoile
Accrochée à un ciel
Qui les malmène
Et les vénère à la fois

Toutes les femmes en moi
Sont souveraines
Je suis un peu chacune d'elle
Forte ou fragile
Douce ou rebelle
Toutes les femmes en moi se mêlent

On rêve toutes un peu
Des formes de Monroe
Du verbe de Djavan*
Du courage de Bhutto**
Je rêve du jour enfin
Où un mec perdra les eaux
Et où l'on gagnera comme lui
Le salaire du guerrier
Mais aussi le repos
Ce jour d'été suprême
Où coulera à flots, l'eau qu'on suce à la terre
Et qui nous fait défaut
Ce jour ce jour qui peine à arriver alors

Que dans notre ADN
S'inscrivent tous les torts
Et que Dieu se rassure
On ne lui en veut pas
C'est à nos grandes ratures
Que l'on doit ce karma
Dieu est une femme c'est sûr

Elle nous pardonnera
Elle nous pardonnera"
50,TRAZTSO128F425E2BB.h5,Parachute Band,Thine Is The Kingdom,
51,TRANOBE12903CE4DF3.h5,Hall & Oates,Perkiomen,"Perkiomen, somewhat cloudy
Indian water slipping down a mountain stream
You know what I mean

Painted lady touch the water
Forest standing, sentry over mossy wall
She comes when you call

Outside, you've got me slipping like a honey slide
I'll take a ride with a willow weeping
Tears of strength into the stream
And the waterfall is a tense of all

Perkiomen, somewhat cloudy
Indian water slipping down a mountain stream
You know what I mean, ooh woo

Outside, you've got me slipping like a honey slide
I'll take a ride with a willow weeping
Tears leading to the stream
And the waterfall is a tense of all

Perkiomen, somewhat cloudy
Indian water slipping down a mountain stream
You know what I mean, I feel Perkiomen"
52,TRACNZU12903CACFCF.h5,Bamberg Symphony Orchestra and Hans Swarowsky,Hungarian Dances_ WoO 1: No. 12 in D Minor: Presto,
53,TRAVKJI12903CF479A.h5,Moonspell,Trebraruna,"Trebraruna filha da Dor
Guerreira sagrada, Deusa do Amor
Trebraruna teu leito semente
Acolhe-nos agora num muy doce abraço
Trebraruna és Vida és Morte
da Lua és filha, dos Lobos consorte
Trebraruna pagão é teu ventre
Ansiado refúgio de quem ainda te sente
Viva!

Trebraruna és tu quem nos gera
Alimento teu seio d'Amor e de Guerra
Trebraruna a tua voz é
a melodia mais doce da nossa Terra
Trebraruna nós tuas crianças
Beijamos teus olhos cerrados com fervor
Trebraruna cantamos para ti
Somos teu eterno, fiel trovador"
54,TRABQII12903CDBAFE.h5,Canis Dirus,A Somber Wind from a Distant Shore (Album),
55,TRANSDL128F93507B9.h5,Ale Möller,Sandpolskan,
56,TRAGZDU128F93070B1.h5,Dwight Twilley,Tomorrow Never Knows,
57,TRABAFP128F931E9A1.h5,Tiny Tim,I Hold Your Hand In Mine [Live At Royal Albert Hall],
58,TRAESWB128F149CB2C.h5,Dexys Midnight Runners,Until I Believe In My Soul,"I'll need tonight to sit and think about this
Think what to do.
I'll take some strength to banish hollow sorrow.
Hollow sorrow's nothing new.
Just enough strength to last until tomorrow
Until I believe in my soul.
Tonight I lost sight of all purpose
Despite all this trickery you told me was right.
I was such a good boy I let you hold the door
So kind, so nice, where's my prize?
(That's all there ever is) Oh yeah yeah yeah?
(That's all there ever was) Ah you must be fucking joking.
(The same for everyone) Oh yes. Yes yes.
Would you repeat that. Break it to me gently,
Stand over there.
Oh I know I was an arrogant boy but I let you hold the door
Oh I was kind. I was nice, where's the prize?
And I'm on the train from New Street
To Euston. I'm going out to Harrow again
And I'm trying to get the feeling
That I had in nineteen seventy two.
Oh but you're going too fast for me here,
I'm saying, wait a minute there, wait a minute there
Hold it, stop! Let me get this clear
(That's all there ever is) oh yeah yeah yeah?
(That's all there ever was) yes, yes. ha ha ha.
(The same for everyone) Oh yes. yes. yes.
You see I know what this is, I know
What's going on here, this is just the difference between ...
It's the battle between the body and the soul. The spirit
And what's needed here...
What I intend to do now is I'm going to punish my body.
I'll punish the body to believe in the soul, I will punish
My body, until I believe in my soul."
59,TRAWHSM128F9301172.h5,Big Jay Oakerson,It's All In How You Look At It,
60,TRAXVGM128F93469DB.h5,Leroy Hutson,All Because Of You - Original,
61,TRAPVPK128F9305F31.h5,Ronnie Milsap,How Great Thou Art,"O Lord, my God, when I in awesome wonder
Consider all the worlds Thy hands have made
I see the stars, I hear the rolling thunder
Thy power throughout the universe displayed

Then sings my soul, my Savior God, to Thee
How great Thou art, how great Thou art
Then sings my soul, my Savior God, to Thee
How great Thou art, how great Thou art

When Christ shall come with shouts of acclamation
And take me home, what joy shall fill my heart?
Then I shall bow in humble adoration
And then proclaim, ""My God, how great Thou art""

Then sings my soul, my Savior God, to Thee
How great Thou art, how great Thou art
Then sings my soul, my Savior God, to Thee
How great Thou art, how great Thou art

Then sings my soul, my Savior God, to Thee
How great Thou art, how great Thou art
Then sings my soul, my Savior God, to Thee
How great Thou art, how great Thou art
How great Thou art, how great Thou art"
62,TRAMPCN12903CC4E5B.h5,Big Mountain,Where Do The Children Play? (LP Version),
63,TRAJADN128EF3453AE.h5,Roy Rogers,My Chickasay Girl,
64,TRACLUV128F9342D02.h5,Eddie Cano,The Trolley Song (Live Album Version),
65,TRAONBC128EF35ED3E.h5,I.N.T.,Big Sister,
66,TRAKQXJ128F147A028.h5,AFI,Summer Shudder,"Listen when I say, when I say it's real
Real life goes undefined, why must you be so missable?
Everything you take makes me more unreal
Real lines are undefined, how can this be so miserable?

Under the summer rain
I burned away
Under the summer rain, burn
You turned away

Listen, I can't make, make a sound or feel
Feel fine, I kissed the lies, why must they be so kissable?
Listen as I break, break the fourth wall's seal
Gorgeous eyes shine suicide, when will we be invisible?

Under the summer rain
I burned away
Under the summer rain, burn
We burned away

Under the summer rain
I burned away
Under the summer rain, burn
You turned away

This is the fall, this is the long way down
And our lives look smaller now, and our lives look so small
This is the fall, this is the long way down
And our lives look smaller now, and our lives look so small

Under the summer rain
I burned away
Under the summer rain, burn
We burned away

Under the summer rain, burn
I burned away
Under the summer rain, burn
You turned away"
67,TRALBDJ128F9308395.h5,Hank Penny & Sue Thompson,Walkin' In The Snow,
68,TRATYCL12903CECAAC.h5,Kenny Rogers,Where Does Rosie Go?,
69,TRAXAAS128F146B741.h5,The Jam,Start!,"It's not important for you to know my name
Nor I to know yours
If we communicate for two minutes only
It will be enough
For knowing that someone in this world
Feels as desperate as me
And what you give is what you get

It doesn't matter if we never meet again
What we have said will always remain
If we get through for two minutes only
It will be a start!
For knowing that someone in this life
Loves with a passion called hate
And what you give is what you get

If I never ever see you (if I never ever see you)
If I never ever see you (if I never ever see you)
If I never ever see you again

If I never ever see you (see you, see you, see you)
If I never ever see you (see you, see you, see you)
If I never ever see you again

And what you give is what you get
And what you give is what you get
And what you give is what you get
And what you give is what you get"
70,TRAXNQF128F4272F68.h5,Sandy Lam,Zhan Zai Di Yi Pai,
71,TRAVBLC12903CD66A5.h5,George Lopez,Vibrators,
72,TRANIFM128F931C027.h5,Nancy Walker,Ya Got Me,
73,TRAYQKQ128F1491182.h5,Slick Rick,Kill Niggaz,"Yeah, check, check, I can't, I can't manage I, I can't
(But you must Rick) I can't, I can't manage
(But you must Rick) Ah, shit

Hoes ass kiss 'cause I'm like Jason, vision
Releasin' me a basket case from prison - Pissed
Blood feenin', the villain like 'Wassup y'all
Deep down schemin' how to kill 'em
Misleadin' a bit, although proceedin' a hit
I made 'em feel I'd never jeopardise my freedom for shit
Played the empty headed part,
Though the moment they dreaded start, neat
Back of the head and took the credit card
Seen properly decease,
Made it look like an everyday robbery to police
And I's out
Police believed a thief pop for sureity, a jerky
Alert the rest to beef up security
And not to get flashy, although another blast occurred
Another brother deservin' to get massacred
Pleasure in poppin' that flea
Should a heard mister tough guy coppin' mad pleas
Not insane, nor am I biased
Though feels good to watch a motherfucker die before
My fly ass
Ain't nuttin' to blast, fuck it
Then I put some crack vials in the ass pocket and was off
Police said a thug awaited, since I didn't leave no evidence
A drug related incident

I still clock the mil' figures, cock back triggers
Reason why your girlfriends dig us - 'cause I kill niggaz

You are my shining star, my guiding light, my thug fantasy
You are my shining star, my guiding light, my thug fantasy

Well I had it up to here, that's why a brother buckin' trife
And gettin' way with murder, this the motherfucking life
At a jam, nine figure on shelf
While your army a nigger snickering among self - thiefs
Who wanna clock the bread off the next
That's why I'm gonna blow their fucking head off
Maybe the victor get stuck up
Giving these clowns opportunity to fuck up
They knowin' that the kid crew showers, eye cowers
And leaves for 'bout a good two hours
While they're like 'we coulda caught Rick what, for allsort'
That's what the assholes thought
Tough guy mumblin', I thunderin'
Why I had a motherfucking A-K ya wondering
And raise it higher, start giving them the fire
As they scream like high pitch women like Mariah
Blood on the wall like, other brothers ball like they hit
Seein' shots split a motherfuckers skull like lettuce
Run a nigger best bet is for another duck in gage
I'm in a motherfucking rage
Mask 'bout face, Now figure dash
Smash 'bout 10 ta 15 nigger ass out
More enemy dug, deceased, caught
Had not, gave one fuck what police thought (what?)
But first I best provide all brainiacs
With evidence of a suicidal maniac

While I clock the mil' figures, cock back triggers
Reason why your girlfriends dig us - 'cause I kills niggaz"
74,TRAPCLC128EF35AE0B.h5,Paquito Guzman,Cuando Seolvida El Amor,
75,TRAHPKH128F423764D.h5,Ben E. King,You Made The Difference To My Life (LP Version),
76,TRAJXNB128F4261F43.h5,Steve Vai,Brother,"Brother, I'm in need of a friend
For I am drowning in disarray
And brother, it is on you I depend
To pull me out of this misery

Like a hero I've always seen you
Even though I would never say
And through the years
The laughter and the tears
It's you who were strong
In the right and the wrong
A tribute to the world that
Blood is thicker than water

I'm tryin' to say that I love you
I'm tryin' to say that I need you,
Brother

And father, I'm in need of your hand
So I can face the world bravely
And father, do you understand
What it is you mean to me

Like a warrior you always conquered
Every battle you had to face
And through the hard times
When life was a bitter fight
It's you who would give
So unselfish you lived
A tribute to the world that blood
Is thicker than water

I'm tryin' to say that I love you
I'm tryin' to say that I miss you
Oh, father"
77,TRATKVK128F93668B8.h5,Tech N9ne,Soldiers At War feat. Kon Juan_ Big Scoob_ Short Nutty_ L.V.,
78,TRAJSNE128F9305CFD.h5,Steinski,Hot Spot (Terrible Love Mix),
79,TRAFBDA128F14592A9.h5,Ghorwane,Matarlatanta,
80,TRAYGKQ128F932F520.h5,Simon Harris,Sample Track 18,
81,TRAWTRR12903CFF893.h5,Adam Richmond,Pic & Run,
82,TRADTRQ128F92FBA4A.h5,Pardesi,Pardesi Pind Wich Ageya,
83,TRABDDA12903CC007C.h5,Ethel Merman,Small World,
84,TRAQBTT128F427AE7D.h5,Xzibit featuring Jayo Felony and Method Man,Pu**y Pop,
85,TRALAHF128F4248198.h5,Knack,Everything I Do,"Everything I do makes her sad
If I say I love her then it just makes her mad
Nothing I can do will make her love me too
Everything I do makes her sad

Everything I do makes her cry oh my
It just breaks my heart in two when I hear her sigh
There is nothing worse than to know she hurts
Everything I do makes her cry

Call it love
Call it pain
Call it all insane

Love is blind
Love is cruel
Love is fine for fools

Everything I do makes her sad
I could understand it if I treated her bad
But I remind her of some unhappy love
Can't replace the love that she had
So everything I do everything I do
Everything I do makes her sad"
86,TRAUZTO128F92F1E6C.h5,The Katies,Tappin' Out (LP Version),"Wanna be there when you're coming down too

Should've been there when you were screaming out

Wake up Suzi, you're coming down

You've been laughing I've been tappin out

Been tappin, tappin out a super hit song

Gonna play it over and over

Paranoia coming for the mind to be okay

You were open up to it dear wouldn't you

To you, to you"
87,TRACNJR128F4262E27.h5,John Hammond,Come To Find Out,"I'm leavin' here runnin', my time has just run out
You see me runnin' now, my time has just run out
You never wanted me baby, Lord, I come to find out

I tried so hard, baby but I couldn't see past the doubt
Well, I tried so hard, baby, ooh, my time has run out
I been a fool so long, Lord, I come to find out

The wind is howlin', blues turnin' inside out
Oh, the wind is howlin', blues turnin' inside out
And my world is unravelin', boy, I come to find out

And I'm goin' up country where I'm barely known
Baby, I'm goin' up country where I'm barely known
I been with you, baby, made me lose my happy home

I said night is fallin' but I don't know where I'm goin'
I said night is fallin', ooh Lord, I don't know where I'm goin'
Only sight I'm seein' is the long old lonesome road

I gave you my lovin', you know what I'm talkin' bout
I gave you my lovin', you know what I'm talkin' bout
But you played me for a fool, baby, I come to find out"
88,TRANJWP128F428560C.h5,Estopa,Exiliado En El Lavabo,"Con la cabeza metida en el water
Debes llevar unas horas dormido sin aire

La última raya de coca
Ensuciaba en espejo volcado
Y en el suelo gotas de sangre
Porque un grumo te ha cortado

Dime cómo ves el mundo
Exiliado en cada lavabo,
Contando cada minuto,
Administrándote los gramos
Dime cómo ves mi cara
Desde tus ojos desquiciados.
Dime cómo huele el viento
Desde tu tabique blanco.

He venido a contarte
Que tu novia te ha dejado
Que ya no le funcionas
Que estás acabado
Me ha dicho que cuando te vea
Te dé un abrazo

Creo que soy el único que sigue a tu lado
Anda, tira eso
Subámonos al tejado y cuenta
Cuéntame lo que quieras
Cuéntame que estás enganchado
Y dime cómo ves el mundo exiliado en el lavabo
Exiliado en el lavabo"
